ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
7566108,FAL,5970454,ST          0005,,,CAB_A,2022-05-13,15:45:26,58212,18,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,1864.0,2361.0,2361.0,2361.0,F2,68.0,0.0,100.0,2022-05-13 15:45:26,,,,,,,ID_PI_ALARM_ML,0
7565907,FAL,5970388,ST          0003,,,CAB_A,2022-05-13,17:03:42,223948,18,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,1744.0,2209.0,2209.0,2209.0,F2,34.0,1.0,97.0,2022-05-13 17:03:42,,,,,,,ID_PI_ALARM_ML,0
7564097,FAL,5969091,SB          0002,,,CAB_A,2022-05-13,18:54:35,57752,18,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,2011.0,2547.0,2547.0,2547.0,F2,85.0,0.0,100.0,2022-05-13 18:54:35,,,,,,,ID_PI_ALARM_ML,0
7564430,FAL,5969616,SB          0002,,,CAB_A,2022-05-13,22:14:20,57753,17,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,2208.0,2797.0,2797.0,2797.0,F2,89.0,0.0,100.0,2022-05-13 22:14:20,,,,,,,ID_PI_ALARM_ML,0
7564386,FAL,5969601,ST          0006,,,CAB_A,2022-05-13,23:05:42,120260,15,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,2297.0,2909.0,2909.0,2909.0,F2,125.0,0.0,100.0,2022-05-13 23:05:42,,,,,,,ID_PI_ALARM_ML,0
7565571,FAL,5970143,ST          0006,,,CAB_A,2022-05-14,07:04:31,116809,25,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,2603.0,3297.0,3297.0,3297.0,F2,75.0,1.0,99.0,2022-05-14 07:04:31,,,,,,,ID_PI_ALARM_ML,0
7565711,FAL,5970204,SB          0002,,,CAB_A,2022-05-14,07:56:23,57759,20,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,1907.0,2415.0,2415.0,2415.0,F2,76.0,0.0,100.0,2022-05-14 07:56:23,,,,,,,ID_PI_ALARM_ML,0
7565752,FAL,5970302,ST          0003,,,CAB_A,2022-05-14,08:40:22,58484,12,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,1361.0,1724.0,1724.0,1724.0,F2,63.0,1.0,98.0,2022-05-14 08:40:22,,,,,,,ID_PI_ALARM_ML,0
7566060,FAL,5970451,SBT         0005,,,CAB_A,2022-05-14,09:12:30,118594,26,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,1901.0,2408.0,2408.0,2408.0,F2,43.0,0.0,100.0,2022-05-14 09:12:30,,,,,,,ID_PI_ALARM_ML,0
7566836,FAL,5970863,ST          0008,,,CAB_A,2022-05-14,10:05:46,148517,22,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,1890.0,2394.0,2394.0,2394.0,F2,22.0,2.0,92.0,2022-05-14 10:05:46,,,,,,,ID_PI_ALARM_ML,0
7566708,FAL,5970801,ST          0002,,,CAB_A,2022-05-14,11:53:10,229860,23,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,2154.0,2728.0,2728.0,2728.0,F2,27.0,0.0,100.0,2022-05-14 11:53:10,,,,,,,ID_PI_ALARM_ML,0
7567164,FAL,5971251,SB          0002,,,CAB_A,2022-05-14,13:57:10,57766,18,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,2058.0,2607.0,2607.0,2607.0,F2,83.0,0.0,100.0,2022-05-14 13:57:10,,,,,,,ID_PI_ALARM_ML,0
7567534,FAL,5971467,ST          0008,,,CAB_A,2022-05-14,14:59:34,57962,12,3,1,27,PROTEZIONE,PI_REVERSE,ROSSO_GIALLO,DIR_REVERSE,1923.0,2436.0,2436.0,2436.0,F2,52.0,1.0,98.0,2022-05-14 14:59:34,,,,,,,ID_PI_ALARM_ML,0
105083,FAL,5971467,ST          0008,53.0,--,CAB_A,2022-05-14,15:02:31,58591,8,3,1,27,,PI_REVERSE,,,0.0,,,,F1,,,,2022-05-14 15:02:31,ST__________0008\2022-05_MAY\2022-05-14\ST__________0008_22-05-14_13-33-47_CANMVB_005.TXT.GZ,9.15.X.4F,SSC,ERRORE_NON_VITALE,629,5383806,ID_PI_ALARM_ML,0
105082,FAL,5971467,ST          0008,52.0,--,CAB_A,2022-05-14,15:02:31,58591,8,3,1,27,,PI_REVERSE,,,0.0,,,,F1,,,,2022-05-14 15:02:31,ST__________0008\2022-05_MAY\2022-05-14\ST__________0008_22-05-14_13-33-47_CANMVB_005.TXT.GZ,9.15.X.4F,SSC,ERRORE_VITALE,629,5383806,ID_PI_ALARM_ML,0
